symbol,company,industry,yf_ticker
MMM,3M,Industrials,MMM
AOS,A. O. Smith,Industrials,AOS
ABT,Abbott Laboratories,Health Care,ABT
ABBV,AbbVie,Health Care,ABBV
ACN,Accenture,Information Technology,ACN
ADBE,Adobe Inc.,Information Technology,ADBE
AMD,Advanced Micro Devices,Information Technology,AMD
AES,AES Corporation,Utilities,AES
AFL,Aflac,Financials,AFL
A,Agilent Technologies,Health Care,A
APD,Air Products,Materials,APD
ABNB,Airbnb,Consumer Discretionary,ABNB
AKAM,Akamai Technologies,Information Technology,AKAM
ALB,Albemarle Corporation,Materials,ALB
ARE,Alexandria Real Estate Equities,Real Estate,ARE
ALGN,Align Technology,Health Care,ALGN
ALLE,Allegion,Industrials,ALLE
LNT,Alliant Energy,Utilities,LNT
ALL,Allstate,Financials,ALL
GOOGL,Alphabet Inc. (Class A),Communication Services,GOOGL
GOOG,Alphabet Inc. (Class C),Communication Services,GOOG
MO,Altria,Consumer Staples,MO
AMZN,Amazon,Consumer Discretionary,AMZN
AMCR,Amcor,Materials,AMCR
AEE,Ameren,Utilities,AEE
AEP,American Electric Power,Utilities,AEP
AXP,American Express,Financials,AXP
AIG,American International Group,Financials,AIG
AMT,American Tower,Real Estate,AMT
AWK,American Water Works,Utilities,AWK
AMP,Ameriprise Financial,Financials,AMP
AME,Ametek,Industrials,AME
AMGN,Amgen,Health Care,AMGN
APH,Amphenol,Information Technology,APH
ADI,Analog Devices,Information Technology,ADI
AON,Aon plc,Financials,AON
APA,APA Corporation,Energy,APA
APO,Apollo Global Management,Financials,APO
AAPL,Apple Inc.,Information Technology,AAPL
AMAT,Applied Materials,Information Technology,AMAT
APP,AppLovin,Information Technology,APP
APTV,Aptiv,Consumer Discretionary,APTV
ACGL,Arch Capital Group,Financials,ACGL
ADM,Archer Daniels Midland,Consumer Staples,ADM
ARES,Ares Management,Financials,ARES
ANET,Arista Networks,Information Technology,ANET
AJG,Arthur J. Gallagher & Co.,Financials,AJG
AIZ,Assurant,Financials,AIZ
T,AT&T,Communication Services,T
ATO,Atmos Energy,Utilities,ATO
ADSK,Autodesk,Information Technology,ADSK
ADP,Automatic Data Processing,Industrials,ADP
AZO,AutoZone,Consumer Discretionary,AZO
AVB,AvalonBay Communities,Real Estate,AVB
AVY,Avery Dennison,Materials,AVY
AXON,Axon Enterprise,Industrials,AXON
BKR,Baker Hughes,Energy,BKR
BALL,Ball Corporation,Materials,BALL
